sample_idx,has_hemorrhage,iou_hemorrhage,iou_background,mean_iou,true_positives,false_positives,false_negatives,true_negatives,sensitivity,specificity,precision,recall,dice
1049,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1050,True,0.8237,0.9925,0.9081,2229,211,266,62830,0.8934,0.9967,0.9135,0.8934,0.9033
1051,False,0.0,0.9999,0.5,0,4,0,65532,N/A,0.9999,0.0,N/A,0.0
1052,True,0.0,0.9989,0.4995,0,0,72,65464,0.0,1.0,N/A,0.0,0.0
1053,True,0.0,0.9979,0.499,0,0,136,65400,0.0,1.0,N/A,0.0,0.0
1054,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1055,True,0.0,0.9966,0.4983,0,0,221,65315,0.0,1.0,N/A,0.0,0.0
1056,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1057,True,0.0,0.9948,0.4974,0,0,339,65197,0.0,1.0,N/A,0.0,0.0
1058,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1059,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1060,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1061,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1062,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1063,True,0.2,0.997,0.5985,49,127,69,65291,0.4153,0.9981,0.2784,0.4153,0.3333
1064,True,0.5966,0.9993,0.798,71,48,0,65417,1.0,0.9993,0.5966,1.0,0.7474
1065,True,0.0058,0.9974,0.5016,1,0,171,65364,0.0058,1.0,1.0,0.0058,0.0116
1066,True,0.8685,0.9984,0.9335,667,75,26,64768,0.9625,0.9988,0.8989,0.9625,0.9296
1067,True,0.4724,0.999,0.7357,60,0,67,65409,0.4724,1.0,1.0,0.4724,0.6417
1068,True,0.8387,0.9997,0.9192,104,20,0,65412,1.0,0.9997,0.8387,1.0,0.9123
1069,True,0.0131,0.9977,0.5054,2,0,151,65383,0.0131,1.0,1.0,0.0131,0.0258
1070,False,0.0,0.9752,0.4876,0,1625,0,63911,N/A,0.9752,0.0,N/A,0.0
1071,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1072,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1073,True,0.0,0.9984,0.4992,0,0,108,65428,0.0,1.0,N/A,0.0,0.0
1074,True,0.3238,0.9975,0.6606,79,11,154,65292,0.3391,0.9998,0.8778,0.3391,0.4892
1075,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1076,True,0.0,0.9959,0.4979,0,0,269,65267,0.0,1.0,N/A,0.0,0.0
1077,True,0.0,0.997,0.4985,0,0,197,65339,0.0,1.0,N/A,0.0,0.0
1078,False,0.0,0.9895,0.4947,0,689,0,64847,N/A,0.9895,0.0,N/A,0.0
1079,True,0.189,0.9765,0.5827,357,0,1532,63647,0.189,1.0,1.0,0.189,0.3179
1080,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1081,True,0.6946,0.9989,0.8467,166,16,57,65297,0.7444,0.9998,0.9121,0.7444,0.8198
1082,True,0.8388,0.9992,0.919,281,1,53,65201,0.8413,1.0,0.9965,0.8413,0.9123
1083,True,0.0,0.996,0.498,0,0,262,65274,0.0,1.0,N/A,0.0,0.0
1084,True,0.3983,0.9979,0.6981,92,3,136,65305,0.4035,1.0,0.9684,0.4035,0.5697
1085,False,0.0,1.0,0.5,0,2,0,65534,N/A,1.0,0.0,N/A,0.0
1086,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1087,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1088,True,0.7327,0.9983,0.8655,296,108,0,65132,1.0,0.9983,0.7327,1.0,0.8457
1089,True,0.815,0.9964,0.9057,1031,234,0,64271,1.0,0.9964,0.815,1.0,0.8981
1090,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1091,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1092,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1093,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1094,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1095,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1096,True,0.0,0.9745,0.4873,0,0,1671,63865,0.0,1.0,N/A,0.0,0.0
1097,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1098,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1099,True,0.359,0.9885,0.6737,420,39,711,64366,0.3714,0.9994,0.915,0.3714,0.5283
1100,True,0.4495,0.9959,0.7227,218,11,256,65051,0.4599,0.9998,0.952,0.4599,0.6202
